username,currency,prize
mck168,CNY,"74,674"
1289801611l,CNY,"70,803"
kenneth517,CNY,"37,789"
yuyan77,CNY,"28,372"
nongfu1,CNY,"18,893"
lurk001,CNY,"15,045"
lanyibo,CNY,"14,107"
xisky,CNY,"13,875"
n13418606223,CNY,"13,351"
tinghai123,CNY,"10,142"
asd2008su,CNY,"7,705"
duyulin,CNY,"7,183"
shieric,CNY,"6,785"
yaya332222,CNY,"6,329"
hughu,CNY,"5,817"
andoni,CNY,"4,487"
prmmt,CNY,"3,569"
BWX52,CNY,"3,279"
feihua2028,CNY,"2,630"
3112855,CNY,"2,494"
nieddong,CNY,"2,284"
feifei2470,CNY,"2,094"
175898512yp,CNY,"1,995"
cometfrank,CNY,"1,507"
zw6472056,CNY,"1,222"
userTest-CN,CNY,123
