username,currency,prize
Mussasi,IDR,"343,710"
ferryikan,IDR,"29,852"
qamaster11,IDR,"27,247"
cynthiapesek,IDR,"25,628"
EdinDzeko,IDR,"25,570"
bluebiru,IDR,"17,000"
dheejay,IDR,"13,645"
mylintar,IDR,"13,145"
nazarith,IDR,"9,399"
altec,IDR,"7,745"
Aditiya1234,IDR,"5,327"
Dhoil,IDR,"4,202"
SEPARUHNOAH,IDR,"4,167"
Bro3344,IDR,"4,030"
29Douglas,IDR,"3,981"
Kingkong78,IDR,"3,679"
edin56,IDR,"3,368"
adityahendra,IDR,"3,348"
coruna888,IDR,"3,112"
reason2lie,IDR,"2,990"
frendisetia1996,IDR,"2,963"
gorilaz1771,IDR,"2,913"
userTest-ID,IDR,123
