username,currency,prize
bundju,THB,"59,552"
rittikrai,THB,"18,051"
kakashiza,THB,"16,874"
Chut2538,THB,"14,951"
kritstu,THB,"11,997"
teeteet0,THB,"9,284"
arwut09,THB,"8,526"
wianda,THB,"8,302"
bobo14,THB,"5,375"
bombayzz,THB,"5,226"
jameszaa,THB,"4,885"
chok12345,THB,"4,719"
exass120,THB,"4,610"
compee23,THB,"3,460"
Oatyooat,THB,"3,282"
angel666imu,THB,"2,995"
Jaybich,THB,"2,926"
thachapon,THB,"2,915"
symhony,THB,"2,579"
Namenermdz,THB,"2,321"
donlachai,THB,"2,181"
pepopaza,THB,"2,113"
userTest-TH,THB,123
