username,currency,prize
Congdanh99999,VND,"359,786"
Duyphi19999,VND,"88,760"
danghuynh85,VND,"59,619"
Meotrunghoa12,VND,"46,044"
Ongke1234,VND,"45,466"
Hoangnam209,VND,"33,754"
zuong85,VND,"32,613"
Huynhnhu1212,VND,"32,438"
Tuanth1991,VND,"30,048"
Nhatbo2018,VND,"29,298"
hunglieu8791,VND,"29,085"
hihihaha15,VND,"28,156"
phattin1675,VND,"25,454"
duchien214,VND,"22,421"
Thieugia2988,VND,"20,727"
quanzui82,VND,"20,146"
binhdn38,VND,"18,918"
sungak47,VND,"17,265"
maivanhung33,VND,"16,923"
hvtai,VND,"16,270"
kiennt82,VND,"15,660"
THONG37,VND,"14,837"
huykhoidang,VND,"13,268"
buiphankynguyen,VND,"12,289"
Giasieu123,VND,"11,893"
Hoangloc82,VND,"10,788"
phamhien113,VND,"10,308"
userTest-VN,VND,123
