username,currency,prize
Congdanh99999,VND,"359,786"
Mussasi,IDR,"343,710"
qnfelth,KRW,"203,550"
Duyphi19999,VND,"88,760"
mck168,CNY,"74,674"
1289801611l,CNY,"70,803"
danghuynh85,VND,"59,619"
bundju,THB,"59,552"
Meotrunghoa12,VND,"46,044"
Ongke1234,VND,"45,466"
kenneth517,CNY,"37,789"
hsow02h,KRW,"37,089"
Hoangnam209,VND,"33,754"
zuong85,VND,"32,613"
Huynhnhu1212,VND,"32,438"
Tuanth1991,VND,"30,048"
ferryikan,IDR,"29,852"
Nhatbo2018,VND,"29,298"
hunglieu8791,VND,"29,085"
yuyan77,CNY,"28,372"
hihihaha15,VND,"28,156"
qamaster11,IDR,"27,247"
cynthiapesek,IDR,"25,628"
EdinDzeko,IDR,"25,570"
phattin1675,VND,"25,454"
duchien214,VND,"22,421"
Thieugia2988,VND,"20,727"
quanzui82,VND,"20,146"
binhdn38,VND,"18,918"
nongfu1,CNY,"18,893"
rittikrai,THB,"18,051"
sungak47,VND,"17,265"
bluebiru,IDR,"17,000"
maivanhung33,VND,"16,923"
kakashiza,THB,"16,874"
hvtai,VND,"16,270"
kiennt82,VND,"15,660"
lurk001,CNY,"15,045"
Chut2538,THB,"14,951"
THONG37,VND,"14,837"
lanyibo,CNY,"14,107"
xisky,CNY,"13,875"
dheejay,IDR,"13,645"
kaego,MYR,"13,355"
n13418606223,CNY,"13,351"
huykhoidang,VND,"13,268"
mylintar,IDR,"13,145"
buiphankynguyen,VND,"12,289"
kritstu,THB,"11,997"
Giasieu123,VND,"11,893"
Hoangloc82,VND,"10,788"
phamhien113,VND,"10,308"
ngvanquyen,VND,"10,281"
itachi111109,VND,"10,239"
Lethuan111,VND,"10,168"
tinghai123,CNY,"10,142"
garaa2010,VND,"10,087"
nguyenmanhtuan94,VND,"10,084"
PhanHoa261190,VND,"9,930"
Kushin271183,VND,"9,465"
nazarith,IDR,"9,399"
Vitak113,VND,"9,394"
tepbikey98,VND,"9,346"
teeteet0,THB,"9,284"
hnimnav,VND,"9,073"
dangtri3000,VND,"8,815"
Nguyenhuutiep276,VND,"8,651"
arwut09,THB,"8,526"
Traitran197,VND,"8,379"
wianda,THB,"8,302"
Brianvan1994,VND,"7,894"
altec,IDR,"7,745"
asd2008su,CNY,"7,705"
phuongdiacau,VND,"7,613"
ongtrumvietnam,VND,"7,521"
quangman021194,VND,"7,450"
pocung699,VND,"7,441"
kqkq90,VND,"7,423"
Namngh0209,VND,"7,326"
leminhhieu1234,VND,"7,323"
duyulin,CNY,"7,183"
hue180687,VND,"6,835"
shieric,CNY,"6,785"
Tcvtcv,VND,"6,731"
duongduclong123,VND,"6,605"
dungdq,VND,"6,426"
yaya332222,CNY,"6,329"
acmatiensinh,VND,"6,007"
hughu,CNY,"5,817"
Ptunglam98,VND,"5,815"
duongpham,VND,"5,651"
anmolbajaj2806,INR,"5,491"
nguyentip,VND,"5,426"
bobo14,THB,"5,375"
binhphuong108,VND,"5,368"
Aditiya1234,IDR,"5,327"
Poloacxenpaco123,VND,"5,300"
bombayzz,THB,"5,226"
hunter1005,VND,"5,174"
Hanoi195,VND,"5,149"
Hieuprogram32,VND,"5,124"
jameszaa,THB,"4,885"
realsv2,VND,"4,880"
chok12345,THB,"4,719"
Hunggg1111,VND,"4,625"
exass120,THB,"4,610"
tieuphudoncui88,VND,"4,572"
andoni,CNY,"4,487"
winer868,VND,"4,444"
phamthuy123,VND,"4,357"
ammulu,VND,"4,327"
Tranduytanvl,VND,"4,286"
Dhoil,IDR,"4,202"
Cuyeu,VND,"4,191"
SEPARUHNOAH,IDR,"4,167"
insania88,MYR,"4,124"
haigasonla,VND,"4,056"
Bro3344,IDR,"4,030"
29Douglas,IDR,"3,981"
culisvinh,VND,"3,878"
Hieufbu,VND,"3,876"
Dat2345,VND,"3,830"
nghialh2112,VND,"3,789"
Kingkong78,IDR,"3,679"
toan0104,VND,"3,653"
nguyenthanhduy94,VND,"3,646"
P1108k1,VND,"3,588"
vinhome,VND,"3,573"
prmmt,CNY,"3,569"
hotmen88,VND,"3,567"
compee23,THB,"3,460"
socgau28301,VND,"3,409"
edin56,IDR,"3,368"
adityahendra,IDR,"3,348"
Ngoctruong1987ag,VND,"3,314"
Oatyooat,THB,"3,282"
BWX52,CNY,"3,279"
Vanluu1010,VND,"3,196"
coruna888,IDR,"3,112"
tudeptrai2260,VND,"3,017"
angel666imu,THB,"2,995"
reason2lie,IDR,"2,990"
frendisetia1996,IDR,"2,963"
hoangtu6789,VND,"2,949"
Emthanh1985,VND,"2,943"
Jaybich,THB,"2,926"
thachapon,THB,"2,915"
gorilaz1771,IDR,"2,913"
xidott,VND,"2,907"
dinhlam952,VND,"2,902"
tuandatha90,VND,"2,885"
radenbasri,IDR,"2,812"
Buing,VND,"2,725"
feihua2028,CNY,"2,630"
222947,VND,"2,617"
symhony,THB,"2,579"
Kietsugoi,VND,"2,550"
Medianta99,IDR,"2,543"
Truongtienthanh8,VND,"2,542"
Phinson,VND,"2,528"
3112855,CNY,"2,494"
MARSSRAM86,VND,"2,448"
Nguyenminh135,VND,"2,447"
E12w1n,IDR,"2,381"
Rhino01,VND,"2,350"
Namenermdz,THB,"2,321"
sonny2107,MYR,"2,306"
nieddong,CNY,"2,284"
chienlucky1414,VND,"2,266"
thien622,VND,"2,245"
donlachai,THB,"2,181"
Khanhbi1994,VND,"2,153"
Royal1001,VND,"2,144"
lhxbetting,VND,"2,142"
Hoanglv1997,VND,"2,120"
dungerman,VND,"2,116"
pepopaza,THB,"2,113"
Supiori,IDR,"2,101"
feifei2470,CNY,"2,094"
Mapyjr,IDR,"2,074"
Taieuro96,VND,"2,054"
niemlk123,VND,"2,040"
tmn1987,VND,"2,006"
175898512yp,CNY,"1,995"
phat2208,VND,"1,977"
acma931,VND,"1,900"
astin1993,IDR,"1,886"
Ajoy168,IDR,"1,878"
Leonidas15,VND,"1,877"
Seraphim123232,VND,"1,876"
Minh2406,VND,"1,876"
bachphan0101,VND,"1,839"
Kirihara,THB,"1,799"
tung365,VND,"1,797"
cubin1234560,VND,"1,796"
neopet20012022,VND,"1,772"
Linhtran1987,VND,"1,759"
ha2710,VND,"1,747"
H0123456789,VND,"1,742"
mom2521,THB,"1,731"
Nand82,IDR,"1,727"
cunvaoc,VND,"1,690"
Huythang112,VND,"1,667"
Tronghuyenld,VND,"1,662"
Jimbo555,IDR,"1,656"
0981240700,VND,"1,651"
texno,VND,"1,632"
truongnvdr,VND,"1,625"
Aray35,IDR,"1,624"
Betraygirl,VND,"1,610"
nagaair1,IDR,"1,601"
kisshoney159,VND,"1,560"
Ngocdp12345,VND,"1,556"
Thanhhoang12,VND,"1,555"
Sapasex1,VND,"1,517"
VuTrongTuan85,VND,"1,516"
cometfrank,CNY,"1,507"
EricMaximus,VND,"1,502"
Hookah,VND,"1,502"
Thuongbrvt,VND,"1,500"
tottenhamlaso1,VND,"1,494"
jakkai2015,THB,"1,485"
albarra22,IDR,"1,483"
Phephet,VND,"1,479"
lucky7795,IDR,"1,472"
Tranchan082,VND,"1,462"
suikoden992,THB,"1,457"
Transon1,VND,"1,451"
huynhcado12345,VND,"1,417"
Ngoloc7968,VND,"1,406"
suckmylan,MYR,"1,372"
Waseso369,IDR,"1,368"
kungmmc,THB,"1,366"
kaka0803,VND,"1,346"
Giangdongson,VND,"1,346"
arvinyar,IDR,"1,340"
shiendy,IDR,"1,338"
abc1150,THB,"1,326"
Duonglieu29,VND,"1,311"
gerry1408,IDR,"1,308"
tyhue1234,VND,"1,287"
hnc2040,VND,"1,261"
pdhh0811,VND,"1,259"
zw6472056,CNY,"1,222"
t0934095859,VND,"1,198"
NandoP,IDR,"1,178"
Boat1678,THB,"1,175"
221295,VND,"1,170"
wewegombel05,IDR,"1,167"
z258848996,CNY,"1,160"
zackfair86,IDR,"1,158"
Samsung0808,MYR,"1,146"
spankingtb,VND,"1,121"
xiaofen334,CNY,"1,116"
peawkak,THB,"1,097"
Thiennevi0610,VND,"1,092"
Itim1234er,THB,"1,083"
HadesVN,VND,"1,050"
Ngohongtuyen,VND,"1,019"
hieuxd01,VND,"1,008"
Godien77,VND,"1,001"
tttt92,VND,997
hutiunamvang,VND,991
Huan111082,VND,987
ayyasyshidqi,IDR,966
80844,VND,966
carldream,CNY,948
wing61lu,CNY,923
haunguyen93x,VND,922
Xuandinhcap1,VND,913
SocnauT5,VND,888
Annguyen13,VND,879
huybup120313,VND,872
Thaothuy0987,VND,864
catbobi,CNY,862
PN123456,VND,861
phucnumne,VND,853
Nhoxskysg90,VND,853
jaaeee2212,THB,840
Martin9996,CNY,834
Na9485,VND,834
nn0836288858,THB,833
kakachied01,THB,832
Minhly1289,VND,829
lxh711,CNY,825
holywindz,VND,823
Vhg1984,VND,810
w1snu322,IDR,808
ossamabinladen,IDR,801
Arkana25,IDR,793
abel25,IDR,792
letuong2512,VND,790
LETUANAN2017,VND,779
dennisboen18,IDR,758
minhnhatpc79,VND,756
LetienPY,VND,755
Hungnguyenm116,VND,754
comingsoon,THB,750
Kurniawan1987,IDR,741
12970,VND,738
zmt99501,CNY,735
Sapasexy,VND,734
Thoidiroi,VND,719
chopeenn,THB,705
thoho123,VND,696
astralis88,IDR,694
ulxone17,VND,688
vn46138,VND,687
Kien39,VND,686
noldnyonyo,IDR,679
giapa3,VND,678
congrua4747,VND,678
19925641973,CNY,676
sincross,IDR,674
temtran1107,VND,671
nhan07112014,VND,669
Thermoking,VND,655
vitbum,VND,645
luci2712,VND,638
7338,VND,632
charath25,THB,627
Dinh8492,VND,614
chaoahbiao,THB,603
vinh03042905,VND,600
kakekgacor666,IDR,599
emeryarsenal,VND,598
tratienlaichotao,VND,593
az99az99,VND,591
kingofall15,VND,579
tcww4444,MYR,579
0932052075,VND,577
CheryMack,VND,577
Pna8760,VND,573
Quangberlin,VND,572
loc1213,VND,562
22savage,MYR,560
dungmeo99,VND,559
Tanck,VND,559
Rangsun2529,THB,555
Minhquyenpham,VND,541
Ipodtouch,VND,533
thinhtom1993,VND,526
01667385470,VND,510
Ismaild,IDR,506
romanticman,THB,498
beonhe,VND,491
Phucthien6789,VND,486
Lo24286,VND,486
Duykhuong1991,VND,475
sandykuntul,IDR,473
Shanzaa,IDR,460
faisallazie,IDR,458
Cuongke1994,VND,447
Quangvinh2020,VND,446
Ceecodd,THB,443
hiepvan,VND,436
Dhadan,IDR,436
Truye,VND,432
bigbet333,VND,428
nampuzzz,THB,427
leonardzz,THB,424
permoskubpom,THB,412
Tranduyhiep1512,VND,393
Ibracadabra88,IDR,392
Naymark,THB,384
Danzer3012,VND,384
Ngocninh95,VND,372
Happynew88,VND,367
dennylisman,IDR,365
rubbish13,MYR,361
Haonam2021,VND,359
Thanhthienbui,VND,356
mikesoi28,THB,353
399avu,VND,340
Ohmmy2536,THB,333
thanh55xd1,VND,332
Lionfamily,IDR,328
pay0607,THB,320
Tranphung1988,VND,313
aoote11813,THB,309
Bokinhvan96,VND,305
bolamani1,IDR,304
dotandat,VND,300
Thanhluan132587,VND,300
Kunkka88,VND,293
Kinanti99,IDR,287
Hoang89dd,VND,281
jojo515,IDR,278
Binhkaka9929,VND,278
ikariam,VND,274
Hanamichi0302,VND,269
luckyvct,VND,269
Ranger345,IDR,268
trananh678,VND,268
manhhieu1,VND,268
Sapasex,VND,264
lxs1017,CNY,264
Caunho0343184568,VND,264
RAMON23499,IDR,262
gran345,USD-JP,260
panitiasorga8,IDR,258
Sapasex2,VND,253
soft93,IDR,249
zia22,IDR,246
endra1984,IDR,244
okb5ay,CNY,244
letrunga1,VND,243
rudai,IDR,233
tuanwinner,VND,228
nguyenlehieu,VND,227
yokosaragi,IDR,227
Dan9393,VND,226
Phapduy1988,VND,225
indanger2nd,VND,222
Juara1994,IDR,219
Phambaquang90,VND,219
trung22698,VND,215
Truclinh2018,VND,209
osaga,THB,206
osomtuyo,THB,200
zenshine666,THB,196
CIVIC2645,THB,192
iamthebest123,THB,188
NMT280322,VND,188
Bongda3636,VND,185
haihungdung21,VND,184
Luyentran36,VND,177
moronbrothers,IDR,174
LINTZSF46,IDR,172
Gamebaivui,VND,171
Nguyendat039,VND,168
Mirorr,VND,166
Elanzers,VND,165
9543447a42,VND,157
hjen1986,VND,153
mythds3565,THB,152
Sledew5193,IDR,151
shezan09,IDR,146
zundz2706,VND,143
Minhhai90vtpt,VND,139
Ductrung7788,VND,137
quazer22,THB,137
Conba9,VND,136
Toniteo987654,VND,135
Letin15091995,VND,131
traudien11,VND,130
Kristanto25,IDR,129
nguyendong010193,VND,129
wilfrid,IDR,121
Hangnguyenhang8,VND,120
Nick334,THB,120
lamson35,VND,119
Bienhung19994,VND,119
Hana1312,VND,119
Bambooo,IDR,119
BACHTHANHSANG123,VND,118
Julyhaye,VND,117
MasterLew,IDR,117
accnet123,IDR,117
Hafizul2508,MYR,116
starknjght,VND,115
Longgia88,VND,113
Xoai2020,VND,109
Siroj385166,THB,105
vhson905,VND,105
nhuvan123,VND,100
pitlord,THB,99
Royal250488,VND,98
xechogalau1,VND,95
Thanhluy1991,VND,92
zpingza,THB,87
Thachnguyendat64,VND,86
ndienthang,VND,85
bogiaxitrum,VND,84
caviarblue,IDR,83
owenggg,THB,83
zinclord86,IDR,80
Baomy2019,VND,80
chaiwattsw,THB,80
Dhuy1308,VND,80
wisen888,IDR,80
BoatMuMu,THB,75
chaukuli1983,VND,74
dr4gon84,IDR,74
nero96,VND,74
YOTHEONE,IDR,73
termcnx,THB,72
tusquin,VND,71
infoline,VND,69
todiem1954,VND,69
arcbar1st,IDR,68
Datminh20,VND,66
einsam11,IDR,65
kling8s,VND,64
azhad,MYR,62
Condaobang,VND,61
lastchance18393,VND,61
Bongbabi2019,VND,61
pond1996,THB,59
caykeo12,VND,58
Angkerbir88,IDR,58
piccur,IDR,57
2Anan2,VND,56
huuthangbkdn,VND,54
hooligan8987,IDR,54
aun145135,THB,54
mrvictoria,VND,53
Vohuutam,VND,49
Azizahsubandi,IDR,49
narendracorp86,IDR,46
Giahung015,VND,42
sdoondoping,VND,41
aumgs,THB,40
Beamdizzco,THB,40
dragodz666,IDR,40
Bimdongle12,VND,40
Xuan9mmmkkk,VND,37
grenade7771,VND,35
newjikung123,THB,34
phatdzpro98,VND,33
chienproduytan88,VND,32
rullynugraha04,IDR,31
Bloodmaster,MYR,31
rjnick,IDR,30
Binbin678,VND,29
alfian5,IDR,28
Thanhtruong3131,VND,27
Tinshake218,VND,25
nhisilly,VND,25
anhdaivn,VND,23
DDtran011,VND,22
jamesplz,THB,20
Vodoifc69,VND,19
Prachya2ez,THB,18
chrisgunadi,IDR,18
thanhhai0906,VND,17
gundzo2,VND,17
hetarin91,IDR,16
handyw,IDR,15
tekupla,IDR,15
baovuongg62,VND,13
sc0813,MYR,13
Vietttt89,VND,10
Emericantrieu,VND,9
khanhart94,VND,9
Lyhuutho,VND,8
maxkao2536,THB,7
Ttsang,VND,7
milkky2556,THB,7
Ducminh221293,VND,6
Vi2307az,VND,6
thinhphatqni,VND,5
niwat0410,THB,4
wardotyudi,IDR,4
pondthanawat,THB,4
feitan7,IDR,3
Ntb21061999,VND,2
cuong169,VND,2
nestrunch2,THB,1
aakbarrm,IDR,0
Toan389,VND,0
OttoWish,THB,212
teerasakmix,THB,212
Dew55555,THB,211
kongkong2518,THB,211
Dang235vn,VND,210
Ummislank,IDR,210
altec,IDR,210
huongthien5859,VND,209
quanquan888,VND,209
Majulagi22,IDR,208
Vanhuong16,VND,208
Revit2019,VND,208
Uylong1107,VND,207
captuyen,VND,207
KQ14,IDR,206
ahmadsopian91,IDR,206
rmd2017,IDR,206
902151107,VND,206
Leonidas15,VND,205
MARSSRAM86,VND,205
anhhieu89,VND,205
Truongtho86,VND,204
905899754,VND,204
Hanie10,IDR,204
Viendong3,THB,204
LMGES,THB,204
duck7292,VND,203
nhatbap0112,VND,202
ava281185,IDR,202
welli,IDR,201
Steven28683,VND,199
Tifosi1986,VND,199
badaothatroi,VND,199
thodaigia,VND,199
thangjackpot,VND,198
gan23998,THB,198
LeeNguyen123789,VND,197
thuannguyen0807,VND,197
k0ser,THB,196
phatloc999,VND,196
mylove7379,VND,196
Dinhphan2810,VND,195
Phuonganhtn,VND,195
kimdoll,VND,195
maxsimust,THB,195
thienvuong999,VND,195
johnbee,IDR,194
Blacksilver0126,VND,193
mattmalam,MYR,193
fendy888,IDR,193
Azharhamid1,IDR,192
Chauluc318,VND,192
tummeng,THB,192
laurensia,IDR,192
886302,VND,191
vdh9999,VND,191
Phuongnam182,VND,191
cpratak12,THB,191
kyoken2014,VND,191
wy11auto,THB,191
Taminox100993,VND,190
Hanguyen1888,VND,190
Vunguyen1,VND,190
dinsyi,IDR,190
chot2512,THB,190
Sibuluan13,IDR,190
tranduonghp91,VND,190
jameszaa,THB,190
ngocthao36,VND,189
jovano26,IDR,189
123456ds,VND,188
anhoang332,VND,188
Nisacarlo,IDR,188
Teoliem,VND,188
Gives92,IDR,188
lephong810,VND,188
pumpuitik,THB,188
Jaychounmb,VND,187
nhuchau,VND,186
Invisme,THB,186
supervigo,THB,186
coruna888,IDR,186
Lehuyquan1996,VND,185
phuong68312,VND,184
anadi54554,IDR,184
dragonblue,VND,184
zircon1001,THB,184
toyarmy7,THB,184
meoxixi,VND,183
Barek12,IDR,183
Oatoat,THB,183
fb9595,THB,183
81223774591,IDR,183
Truongtrinh92,VND,183
mottramngandong,VND,182
Game3038,THB,182
insania88,MYR,182
bathangphuc,VND,182
SEPARUHNOAH,IDR,182
Phieu2212,VND,180
Brian120289,IDR,179
Prepare,IDR,179
Somtui13,THB,177
prauntian,IDR,177
hunglieu8791,VND,177
Phamngocphu,VND,176
nguyenhai291,VND,176
Nguyenminhvu789,VND,175
secaba02,IDR,175
admin17071993,VND,174
Hardi2391,IDR,174
Coptinhquai2017,VND,174
ngocvuongbt,VND,173
Monangaan,IDR,173
Masndut,IDR,173
Nichapat,THB,173
Duybr,VND,172
urushi,USD-JP,172
Zinha,VND,172
Elkakoys,IDR,171
PHAT8888E,VND,171
luumanh1,VND,171
caferubybd,VND,171
Luong111981,VND,171
Kne44,THB,171
kepalasapi,IDR,171
tralala83,IDR,171
probetvn87,VND,171
bladil13,IDR,171
phuochung1104,VND,170
tudeptrai2260,VND,170
vankhai00,VND,169
Cuogdl,VND,169
dangdiencao1991,VND,169
Vanhien31,VND,169
MjnhSjnh89,VND,169
giangnamthanh,VND,169
Nguyencrkh,VND,168
regieyumasuti,IDR,168
baonguyen0707,VND,168
nunu8890,VND,167
thtuyen,VND,167
traudien11,VND,167
Hao275,VND,166
Nguoinhatrac88,VND,166
kuteo5679,VND,166
tvf1730000hh,VND,166
Aifull,IDR,166
boogto55,THB,166
windh28,IDR,166
longnguyenphuc,VND,165
966636036,VND,165
xuanbac0706,VND,165
AUNBAS,THB,165
Anhthinh0,VND,164
Dika2018,IDR,164
Tuanngao1982,VND,164
rondo17,IDR,164
thuytay6688,VND,163
Manhtckt,VND,163
TVT242,VND,163
Chautinhtrung11,VND,163
primap3,IDR,163
ws1530311610,THB,163
Nguyentuanhp,VND,162
tunguyen11976,VND,162
Mooice153,THB,162
duahau2014,VND,162
Khemzaa123,THB,162
xuongrong0210,VND,162
mp9667,KRW,161
kah,VND,161
Sonlam94,VND,161
Leanhdai04,VND,161
Hummer2021,VND,161
zgc8989,THB,161
xuanvi58,VND,159
Blackjackyy,IDR,159
phamhien113,VND,159
phanlanh1207,VND,159
Boskadas,IDR,159
dcthien93,VND,159
bk1186,THB,159
88huy88,VND,158
Doibuon88vn,VND,158
Badboy983,VND,156
quoclinh779,VND,156
Karunate,IDR,155
